Student name,Student ID,Math,Physics,Biochemistry,Biology,Biophysics,Advanced methods,Final Score,Department,,,,,,,,,,,,,,,,
John,5243,10,9,8,9,9,10,9,Mathematics,,,,,,,,,,,,,,,,
Jillian,6005,9,8,10,10,8,8,9,Biology,,,,,,,,,,,,,,,,
Beth,4982,7,7,6,6,6,6,6,Physics,,,,,,,,,,,,,,,,
Mark,4990,8,8,8,8,8,9,8,Physics,,,,,,,,,,,,,,,,
Samuel,6001,6,6,9,9,8,6,7,Biology,,,,,,,,,,,,,,,,
Rebecca,5247,9,8,6,6,7,9,8,Mathematics,,,,,,,,,,,,,,,,
Bill,5841,7,7,6,6,6,6,6,Mathematics,,,,,,,,,,,,,,,,
Bentley,4971,7,8,6,6,7,8,7,Physics,,,,,,,,,,,,,,,,
Serena,6023,10,10,10,10,10,10,10,Biology,,,,,,,,,,,,,,,,
Sebastian,5068,9,8,7,7,8,9,8,Mathematics,,,,,,,,,,,,,,,,
Broderick,4891,8,10,7,7,8,9,8,Physics,,,,,,,,,,,,,,,,
Zack,5248,7,6,6,6,6,7,6,Mathematics,,,,,,,,,,,,,,,,
Vivian,5918,9,9,8,8,9,9,9,Mathematics,,,,,,,,,,,,,,,,
Ken,6009,6,6,10,10,7,9,8,Biology,,,,,,,,,,,,,,,,
Caleb,5034,8,8,7,8,8,9,8,Mathematics,,,,,,,,,,,,,,,,
Donald,5733,7,7,6,6,7,6,7,Mathematics,,,,,,,,,,,,,,,,
Nathan,4899,8,8,7,7,8,8,8,Physics,,,,,,,,,,,,,,,,
Kenley,5500,10,8,6,7,8,9,8,Mathematics,,,,,,,,,,,,,,,,
Ian,4993,10,10,9,9,10,10,10,Physics,,,,,,,,,,,,,,,,
Tempeh,5479,7,7,6,7,6,7,7,Mathematics,,,,,,,,,,,,,,,,
